Date,NDMI_mean,NDMI_min,NDMI_max,NDMI_stdDev
2020-01-03,0.27228858671004574,0.031852848811126065,0.4652573210881996,0.05207327446614793
2020-01-08,0.2064161701074618,0.023272090988626423,0.3465346534653465,0.030991011763137417
2020-01-13,0.22675257913560498,-0.21311475409836064,0.5151920760273055,0.06866513711975128
2020-01-18,0.2439189611258553,-0.5016227912008655,0.6864153201675643,0.12234280317664245
2020-01-23,0.2253629727458169,-0.4860035735556879,0.645910780669145,0.13500863737731314
2020-01-28,0.2472468185518536,-0.5908963191907839,0.6657126502575844,0.13810111356317062
2020-02-02,0.23968433270233275,-0.31769087523277467,0.7045084193373167,0.13439458410448113
2020-02-07,0.5245087667690668,0.4539788536449638,0.5748613678373382,0.023252157530198075
2020-02-12,0.231988201002694,-0.3045148895292987,0.7062010836845274,0.13267196952784016
2020-02-17,0.2503208798997147,0.16442425301415342,0.3896250642013354,0.031892687486255636
2020-02-17,0.24161699343935905,0.1531582682753726,0.38333333333333336,0.0323901328506766
2020-02-22,0.22123460866833827,-0.12105565117613311,0.540021731256791,0.08741842594811697
2020-02-27,0.3421566403786802,-0.05084745762711865,0.6984054669703872,0.09794840918639898
2020-03-03,0.2852365501080132,-0.14386376981796828,0.5393460294646065,0.0761401699073262
2020-03-08,0.5544031127929866,0.5004821600771456,0.605772384388324,0.024440801999277215
2020-03-13,0.49795551674122795,0.43156934306569344,0.5565092989985694,0.026786640966673377
2020-03-18,0.2368344397745583,-0.25544794188861986,0.7325083293669681,0.07269718787890074
2020-03-23,0.23582289381412241,-0.041916167664670656,0.4910114793155729,0.07777673025394288
2020-03-28,0.24675732645539014,-0.13530751708428246,0.5376332507806612,0.07686306195256669
2020-04-02,0.6870926679881951,0.6,0.7298943561435234,0.020237643963113505
2020-04-07,0.2723547547031084,-0.3698756333486872,0.6089324618736384,0.10306353203037431
2020-04-12,0.22577668865735273,-0.5006909258406265,0.7497191642327566,0.11800518624481983
2020-04-17,0.14147256113502382,0.05144374377696648,0.2739040175845647,0.023770739377287582
2020-04-22,0.28195975162206766,-0.3284582571602681,0.6269409155071587,0.08981942197907088
2020-04-27,0.25984634217936264,-0.12654690618762476,0.49494256814675125,0.05612599419969823
2020-05-02,0.28184745553158425,-0.4729119638826185,0.6170825335892515,0.1096687230558994
2020-05-07,0.28030163048457124,-0.43938012762078393,0.5908103073579634,0.10816712215218346
2020-05-12,0.258545535710522,-0.6022857142857143,0.6763285024154589,0.12189428990612905
2020-05-17,0.19702677526059234,-0.543713163064833,0.6147174770039422,0.1197868182584911
2020-05-22,0.21608516870129496,0.017592851158894165,0.35853335853335855,0.03164099968284717
2020-05-27,0.2748500253269592,-0.5827931644077784,0.6828885400313972,0.11483943200016776
2020-06-01,0.31317400679653357,-0.2030618753986817,0.8218923933209648,0.11082486474452025
2020-06-06,0.25958450529309685,-0.43727891156462584,0.6331621423330888,0.12237694627029103
2020-06-11,0.2692096173494672,0.09099018733273863,0.43782783091638383,0.03628159716320825
2020-06-16,0.2728548619804128,-0.24988784208165096,0.741026805997274,0.08584583481216512
2020-06-21,0.24491477626156008,-0.008201892744479496,0.5490716180371353,0.06371865404276889
2020-06-26,0.2749935940339427,-0.48972188633615477,0.6553656486410759,0.1094319348223217
2020-07-01,0.6416926196223938,0.5565665756748559,0.7187914747443204,0.02451187374371065
2020-07-06,0.2236980200711858,0.0016953257447323807,0.47526612398246715,0.058334373703692065
2020-07-11,0.2507773731313852,-0.2849364791288566,0.6200998940517632,0.08826724718653854
2020-07-16,0.12458068120161889,-0.2578024796921761,0.5757157640565712,0.060796847549595745
2020-07-21,0.32236879889998155,0.05961820851688693,0.48854961832061067,0.04858933358506767
2020-07-26,0.5874361701142947,0.38376294868706334,0.6972792456536686,0.05724791188241728
2020-07-31,0.24928175251462606,-0.30293706293706296,0.6513226411164341,0.11475453309002422
2020-08-05,0.18508278076206855,-0.3456669912366115,0.6408061351881577,0.10493718537695183
2020-08-10,0.2658675614222515,-0.3629756306113724,0.6019283746556474,0.12033855548794921
2020-08-15,0.5414505147173532,0.46077498300475866,0.6422287390029325,0.030320572599174134
2020-08-20,0.23485902070504086,-0.3618421052631579,0.6716417910447762,0.1288842569954097
2020-08-25,0.2054800310021545,-0.26591107236268524,0.6016934203563239,0.11622728208671622
2020-08-30,0.2666736260892636,-0.1782065834279228,0.5915306572562858,0.0772409452713628
2020-09-04,0.3949643553119408,0.11332904056664521,0.7207085693732578,0.07412564953339254
2020-09-09,0.26400393235366537,-0.21389645776566757,0.543832428238945,0.09818000165855682
2020-09-14,0.19789230775394512,0.015337423312883436,0.4458585140419481,0.041705944307495364
2020-09-19,0.20318843206205273,-0.2988568317909635,0.6200916882599162,0.10173139342514324
2020-09-24,0.24320728030044508,-0.23830985915492958,0.6548334243582742,0.0820753362722689
2020-09-29,0.2705446911224687,-0.2456042939107903,0.8016371597182562,0.10121453144587733
2020-10-04,0.23905799036442135,0.0941402497598463,0.37734227264913184,0.02600899404180457
2020-10-09,0.28132057769960944,-0.615506329113924,0.6267711787760024,0.11608005481816253
2020-10-14,0.294390248807057,-0.20287253141831238,0.6976050610031631,0.09412436938954517
2020-10-19,0.28719419941157104,-0.4081408140814081,0.6699143785060525,0.12099639323049224
2020-10-24,0.28003852956356157,-0.3060921248142645,0.5682419659735349,0.11845417104050232
2020-11-03,0.2588092259393472,0.041924899744804955,0.44642233856893543,0.04520107708306184
2020-11-08,0.27357583053523177,-0.1683724663857114,0.5473411154345007,0.09222719779993778
2020-11-13,0.25744463608667656,-0.3966253303516975,0.7633159016075924,0.13042495584482777
2020-11-18,0.25829585559633467,-0.4836722119531731,0.7482376636455186,0.1260051375164474
2020-11-23,0.3217596849963311,0.15824556725769898,0.405666063893912,0.025763564640839412
2020-11-28,0.46164789497788794,0.27696643607481425,0.7836812144212524,0.09018850962262788
2020-12-03,0.2432011461660364,0.035735207967193906,0.4411710887465691,0.058272970904703646
2020-12-08,0.2202667169098839,-0.05344295991778006,0.5299793246037215,0.032784566398065595
2020-12-13,0.28010492613603694,-0.3988950276243094,0.7375186846038864,0.12844382044132097
2020-12-18,0.4789766664618567,0.2551215167324087,0.6230811910486407,0.05606955471061157
2020-12-23,0.30911842374445386,-0.24574594380688564,0.6148116620557565,0.09157686899040365
2020-12-28,0.5864827277502788,0.5528207627634946,0.6183274021352313,0.012404514828507868
