Date,NDVI_mean,NDVI_min,NDVI_max,NDVI_stdDev
2020-01-03,0.3098335446977751,0.03315343099460293,0.6235294117647059,0.08231187494845767
2020-01-08,0.18943828964418896,-0.016591251885369532,0.44090056285178236,0.059993886218253634
2020-01-13,0.5218983076888587,-0.19485078993563487,0.9819140919366993,0.14828921977777385
2020-01-18,0.44226555057745937,-0.4474655924806982,0.8782063833953397,0.29959102578043245
2020-01-23,0.5530087390208965,-0.12670853343184338,0.9272976680384087,0.3271316693748574
2020-01-28,0.5310770744145515,-0.3531746031746032,0.9114961367361274,0.3271510174158117
2020-02-02,0.5919847883086822,-0.08433734939759036,0.9024088943792464,0.2510251802898066
2020-02-07,0.04167243593139262,0.01098901098901099,0.08481421647819062,0.007400352630080174
2020-02-12,0.5046188075060071,-0.08364451082897685,0.9179923818059601,0.3158014661008098
2020-02-17,0.02724311478841398,-0.06263982102908278,0.24574961360123648,0.024219349705270007
2020-02-17,0.02030117218159227,-0.0682261208576998,0.23948134427097115,0.024054014738444145
2020-02-22,0.4043292473175062,-0.06578947368421052,0.8369034197670049,0.24753723271182893
2020-02-27,0.027193108896640318,-0.09182707478699906,0.8069715897642555,0.11988850329467321
2020-03-03,0.5583623542011499,-0.08658294778585592,0.7983098591549296,0.1649135372587117
2020-03-08,0.057513830826964506,0.04259634888438134,0.07580477673935618,0.004880811589390686
2020-03-13,0.0008726948121766751,-0.014705882352941176,0.023908192540643927,0.004785753213596608
2020-03-18,0.05744553308607931,-0.32156646442360726,0.8576180971390552,0.15731148811775755
2020-03-23,0.3851386900906009,-0.024745269286754003,0.7523219814241486,0.20247540852642845
2020-03-28,0.27736692998977436,-0.16592652402099314,0.7974995597816517,0.24890818118536592
2020-04-02,-0.0057491534452963145,-0.020224719101123594,0.01414027149321267,0.004824586472984927
2020-04-07,0.7149863346225934,-0.29793510324483774,0.9169811320754717,0.20007626595017253
2020-04-12,0.49232967951404955,-0.2763671875,0.9061166429587483,0.30916650069599827
2020-04-17,0.07994533915846645,0.002044989775051125,0.2670727797370952,0.029237033894019143
2020-04-22,0.2912423938870587,-0.2456246228123114,0.8546871418748567,0.2544938655655565
2020-04-27,0.2785409472896362,-0.14238519986785597,0.6282107096212451,0.16762215826428387
2020-05-02,0.7988751506865822,-0.22455845248107653,0.9380081300813008,0.142666437501671
2020-05-07,0.7302190855026107,-0.2003454231433506,0.9724896836313618,0.24669280014410172
2020-05-12,0.6413879190425094,-0.4020618556701031,0.9460804645375362,0.29639374101762933
2020-05-17,0.4110165298320968,-0.18704688255195748,0.9218241042345277,0.3005593831308187
2020-05-22,0.19069345376929903,-0.01958266452648475,0.49357226334242305,0.11291080208044318
2020-05-27,0.8202943079235623,-0.2651685393258427,0.992831541218638,0.13351878442527726
2020-06-01,0.4912520918342615,-0.2540106951871658,0.978044955567172,0.31077716678193373
2020-06-06,0.6480427680865227,-0.06192893401015229,0.9084842707340324,0.2255416001217461
2020-06-11,0.25110753075139974,0.05743380855397149,0.6043214044564483,0.09535063247447766
2020-06-16,0.09832896867667623,-0.2499301870985758,0.9001218026796589,0.1982989236033229
2020-06-21,0.4371542492677912,0.09873188405797101,0.8303872889771599,0.14872628571850854
2020-06-26,0.7353818562526527,-0.08971840209561231,0.9305092812946216,0.18546822278687844
2020-07-01,0.0004707146644729359,-0.021702838063439065,0.02403846153846154,0.003693696976681904
2020-07-06,0.2332354943212933,-0.04658077304261645,0.6995491433724076,0.18128050015637068
2020-07-11,0.34921389390953445,-0.09029535864978903,0.8809428685577307,0.2539278565854163
2020-07-16,0.1259620699099682,-0.1956124314442413,0.9992449981124952,0.0968565791382561
2020-07-21,0.45221981298783215,0.09632224168126094,0.6710393541876892,0.09552039314063356
2020-07-26,0.0071230141095083455,-0.028914972802748354,0.1367713004484305,0.015664741520387864
2020-07-31,0.48365692269849925,-0.11236589497459062,0.8872870249017037,0.23600923745803773
2020-08-05,0.3038993034176736,-0.11561866125760649,0.8975088967971531,0.2705644812570106
2020-08-10,0.5898068387850232,-0.049969897652016856,0.89332138054684,0.23339020855556963
2020-08-15,-0.008543794384782647,-0.036795831976554866,0.03180987202925046,0.006175285797984079
2020-08-20,0.557575981170575,-0.08418568056648308,0.998952331063384,0.329485839294828
2020-08-25,0.44310809589063777,-0.10828976848394324,0.9097243259618297,0.2759778363309909
2020-08-30,0.581448811075108,0.03185840707964602,0.9450469992769343,0.1616012226618044
2020-09-04,-0.008277365997668677,-0.17603500504880512,0.15034891097483613,0.016202594919246846
2020-09-09,0.5331654711509279,-0.05195362816659511,0.8242445293504689,0.22383155432251892
2020-09-14,0.02740085132618272,-0.06482861400894188,0.37972768532526474,0.034199385085146486
2020-09-19,0.1953743895630972,-0.1890063424947146,0.8925501432664756,0.26721158650864635
2020-09-24,0.2680501263200976,-0.12457627118644068,0.8421578421578422,0.24398333912335454
2020-09-29,0.00953173662972789,-0.19501212331139592,0.8519370924434215,0.11790166148694098
2020-10-04,0.2540365136915058,-0.004966403739409875,0.6006711409395973,0.09161259289537363
2020-10-09,0.7386985136337952,-0.509090909090909,0.9289815011694663,0.1640065462699003
2020-10-14,0.21974450297929615,-0.1377049180327869,0.8311857535833213,0.279815775014658
2020-10-19,0.6604230800540207,-0.2220039292730845,0.9890909090909091,0.2050105979661404
2020-10-24,0.6180103682109751,-0.1546162402669633,0.8860420650095602,0.2208840548500086
2020-11-03,0.18856726259687473,-0.0754898811435914,0.5553326646606486,0.12507679527054139
2020-11-08,0.5329139931384393,-0.12352132049518569,0.8461538461538461,0.24132447455081066
2020-11-13,0.5676853778920045,-0.37665903890160185,0.9267108167770419,0.33003841030431236
2020-11-18,0.6036390803143574,-0.3876146788990826,0.9322901849217639,0.25949030735867357
2020-11-23,0.08610867959933458,-0.022062134173795586,0.23527597903176073,0.023872487252079598
2020-11-28,-0.0031673448853182643,-0.10548172757475083,0.15773698014237542,0.019763404201104416
2020-12-03,0.36749375049078953,0.028193525931082493,0.6361159758707919,0.12857314646532386
2020-12-08,0.13055911971580292,-0.053294167016365926,0.7289617486338797,0.058635828984313375
2020-12-13,0.48928359688731443,-0.28952946163628657,0.9052648951972273,0.3003570494922229
2020-12-18,0.03666570762785793,-0.0660377358490566,0.19662243667068757,0.034229309784947336
2020-12-23,0.7675776312416372,-0.2585844428871759,0.9382055852644088,0.12736184211047186
2020-12-28,0.036373578166547064,0.0130374479889043,0.06330014224751067,0.008896325038918238
